;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4970
;et;Extra Trees Classifier;0.7653;0.6440;0.2417;0.3334;0.2782;0.1425;0.1462;0.5560
;rf;Random Forest Classifier;0.7207;0.6102;0.2705;0.2628;0.2650;0.0937;0.0941;0.5480
;lightgbm;Light Gradient Boosting Machine;0.7136;0.6073;0.3028;0.2661;0.2823;0.1051;0.1056;0.8620
;dt;Decision Tree Classifier;0.6417;0.5224;0.3318;0.2087;0.2548;0.0355;0.0378;0.5280
;gbc;Gradient Boosting Classifier;0.6281;0.5949;0.4470;0.2336;0.3058;0.0835;0.0939;0.5880
;ridge;Ridge Classifier;0.6037;0.5941;0.5126;0.2377;0.3241;0.0941;0.1090;0.4990
;lda;Linear Discriminant Analysis;0.6037;0.5940;0.5126;0.2377;0.3241;0.0941;0.1090;0.5390
;lr;Logistic Regression;0.6001;0.5911;0.5157;0.2367;0.3237;0.0925;0.1074;0.5330
;ada;Ada Boost Classifier;0.5841;0.5762;0.5100;0.2262;0.3123;0.0742;0.0878;0.5160
;knn;K Neighbors Classifier;0.5437;0.5590;0.5382;0.2150;0.3066;0.0542;0.0654;0.5790
;svm;SVM - Linear Kernel;0.5425;0.5557;0.5697;0.2238;0.3158;0.0686;0.0861;0.5120
;qda;Quadratic Discriminant Analysis;0.4658;0.5316;0.5995;0.1966;0.2893;0.0194;0.0303;0.5220
;nb;Naive Bayes;0.4545;0.5476;0.6341;0.1971;0.2946;0.0235;0.0384;0.5070
