;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4560
;ridge;Ridge Classifier;0.7540;0.6060;0.1943;0.2815;0.2278;0.0877;0.0908;0.4570
;lr;Logistic Regression;0.7510;0.6046;0.2037;0.2820;0.2339;0.0906;0.0934;0.4540
;lda;Linear Discriminant Analysis;0.7492;0.6060;0.2102;0.2831;0.2384;0.0930;0.0957;0.4940
;et;Extra Trees Classifier;0.7445;0.6415;0.2732;0.3088;0.2872;0.1330;0.1346;0.4630
;rf;Random Forest Classifier;0.7266;0.6233;0.3019;0.2871;0.2924;0.1242;0.1249;0.4740
;qda;Quadratic Discriminant Analysis;0.7082;0.5951;0.2956;0.2568;0.2691;0.0911;0.0935;0.4430
;knn;K Neighbors Classifier;0.7059;0.5634;0.2799;0.2511;0.2637;0.0819;0.0819;0.4420
;gbc;Gradient Boosting Classifier;0.7023;0.6053;0.3153;0.2577;0.2815;0.0975;0.0989;0.4470
;nb;Naive Bayes;0.7011;0.5956;0.3209;0.2606;0.2826;0.0990;0.1018;0.4290
;lightgbm;Light Gradient Boosting Machine;0.6821;0.6199;0.3622;0.2517;0.2965;0.0996;0.1027;0.7730
;svm;SVM - Linear Kernel;0.6815;0.5352;0.3506;0.2471;0.2848;0.0906;0.0950;0.4360
;ada;Ada Boost Classifier;0.6738;0.5809;0.3151;0.2271;0.2631;0.0609;0.0627;0.4930
;dt;Decision Tree Classifier;0.6096;0.5499;0.4548;0.2278;0.3028;0.0725;0.0809;0.4450
