;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5100
;et;Extra Trees Classifier;0.7635;0.6345;0.2704;0.3380;0.2993;0.1593;0.1614;0.5800
;rf;Random Forest Classifier;0.7338;0.6182;0.2611;0.2783;0.2684;0.1064;0.1068;0.6010
;lightgbm;Light Gradient Boosting Machine;0.7142;0.5994;0.2841;0.2578;0.2681;0.0922;0.0932;0.9300
;dt;Decision Tree Classifier;0.6619;0.5442;0.3565;0.2343;0.2823;0.0739;0.0767;0.5280
;gbc;Gradient Boosting Classifier;0.6292;0.5845;0.4079;0.2277;0.2915;0.0684;0.0732;0.5860
;ridge;Ridge Classifier;0.6048;0.5971;0.5604;0.2505;0.3457;0.1188;0.1390;0.5630
;lda;Linear Discriminant Analysis;0.6048;0.5970;0.5604;0.2505;0.3457;0.1188;0.1390;0.5090
;lr;Logistic Regression;0.6031;0.5951;0.5540;0.2477;0.3418;0.1137;0.1332;0.5290
;ada;Ada Boost Classifier;0.5853;0.5721;0.5001;0.2247;0.3086;0.0707;0.0833;0.5550
;svm;SVM - Linear Kernel;0.5763;0.5657;0.4999;0.2236;0.3064;0.0659;0.0758;0.5100
;knn;K Neighbors Classifier;0.5335;0.5446;0.5067;0.2015;0.2876;0.0291;0.0363;0.5370
;nb;Naive Bayes;0.5318;0.5571;0.5511;0.2144;0.2972;0.0506;0.0655;0.5490
;qda;Quadratic Discriminant Analysis;0.5241;0.5306;0.4810;0.1912;0.2621;0.0082;0.0129;0.5020
