;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5810
;ridge;Ridge Classifier;0.7374;0.5738;0.1720;0.2323;0.1933;0.0430;0.0448;0.5640
;lr;Logistic Regression;0.7356;0.5745;0.1784;0.2330;0.1969;0.0450;0.0469;0.9080
;lda;Linear Discriminant Analysis;0.7320;0.5738;0.1752;0.2258;0.1929;0.0378;0.0394;0.5930
;et;Extra Trees Classifier;0.7279;0.5846;0.2610;0.2636;0.2600;0.0945;0.0952;0.6280
;rf;Random Forest Classifier;0.7178;0.5887;0.2835;0.2643;0.2726;0.0984;0.0987;0.6050
;gbc;Gradient Boosting Classifier;0.6958;0.5681;0.2988;0.2417;0.2665;0.0776;0.0786;0.6080
;qda;Quadratic Discriminant Analysis;0.6946;0.5468;0.2959;0.2348;0.2521;0.0702;0.0731;0.5640
;nb;Naive Bayes;0.6899;0.5749;0.2955;0.2245;0.2426;0.0609;0.0648;0.6250
;knn;K Neighbors Classifier;0.6607;0.5217;0.2959;0.2062;0.2421;0.0323;0.0338;0.5840
;lightgbm;Light Gradient Boosting Machine;0.6584;0.5731;0.3339;0.2189;0.2633;0.0533;0.0560;0.8990
;ada;Ada Boost Classifier;0.6560;0.5713;0.3403;0.2221;0.2677;0.0560;0.0588;0.5660
;svm;SVM - Linear Kernel;0.6015;0.5147;0.3561;0.1975;0.2387;0.0149;0.0130;0.5830
;dt;Decision Tree Classifier;0.5817;0.5341;0.4582;0.2132;0.2901;0.0479;0.0547;0.5750
