;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4860
;ridge;Ridge Classifier;0.7950;0.5832;0.0636;0.2750;0.0996;0.0370;0.0498;0.4630
;et;Extra Trees Classifier;0.7938;0.6278;0.1879;0.3991;0.2504;0.1499;0.1661;0.4890
;lda;Linear Discriminant Analysis;0.7914;0.5832;0.0921;0.3455;0.1401;0.0611;0.0835;0.4650
;lr;Logistic Regression;0.7909;0.5812;0.0793;0.3272;0.1225;0.0473;0.0683;0.4760
;rf;Random Forest Classifier;0.7736;0.6197;0.2037;0.3309;0.2478;0.1251;0.1316;0.5150
;gbc;Gradient Boosting Classifier;0.7511;0.5849;0.2164;0.2815;0.2426;0.0982;0.0998;0.4940
;knn;K Neighbors Classifier;0.7386;0.5494;0.1878;0.2466;0.2115;0.0589;0.0603;0.4690
;lightgbm;Light Gradient Boosting Machine;0.7309;0.5946;0.2771;0.2852;0.2778;0.1143;0.1152;0.7930
;nb;Naive Bayes;0.7296;0.5793;0.2507;0.2595;0.2483;0.0879;0.0895;0.4750
;qda;Quadratic Discriminant Analysis;0.7291;0.5734;0.2255;0.2495;0.2321;0.0707;0.0723;0.4820
;ada;Ada Boost Classifier;0.7255;0.5519;0.1911;0.2218;0.2034;0.0404;0.0406;0.4790
;svm;SVM - Linear Kernel;0.6821;0.5063;0.2326;0.2317;0.2081;0.0260;0.0295;0.4840
;dt;Decision Tree Classifier;0.6286;0.5373;0.3916;0.2216;0.2824;0.0581;0.0622;0.4540
