;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.3380
;knn;K Neighbors Classifier;0.5342;0.5940;0.6525;0.2326;0.3427;0.0938;0.1249;0.3480
;ridge;Ridge Classifier;0.4979;0.5966;0.6780;0.2231;0.3354;0.0760;0.1059;0.3330
;lda;Linear Discriminant Analysis;0.4979;0.5966;0.6780;0.2231;0.3354;0.0760;0.1059;0.3510
;nb;Naive Bayes;0.4854;0.5642;0.6365;0.2102;0.3155;0.0492;0.0688;0.3260
;qda;Quadratic Discriminant Analysis;0.4825;0.5685;0.6399;0.2101;0.3160;0.0488;0.0678;0.3390
;et;Extra Trees Classifier;0.4445;0.5939;0.7384;0.2142;0.3319;0.0600;0.0936;0.3570
;svm;SVM - Linear Kernel;0.4385;0.5760;0.7253;0.2103;0.3255;0.0513;0.0800;0.3430
;lr;Logistic Regression;0.4350;0.5750;0.7289;0.2089;0.3245;0.0490;0.0791;0.3300
;ada;Ada Boost Classifier;0.4154;0.5877;0.7707;0.2101;0.3300;0.0519;0.0872;0.3470
;lightgbm;Light Gradient Boosting Machine;0.4142;0.5758;0.7227;0.2017;0.3152;0.0333;0.0548;0.5950
;rf;Random Forest Classifier;0.4124;0.5835;0.7513;0.2062;0.3234;0.0432;0.0710;0.3780
;dt;Decision Tree Classifier;0.4112;0.5520;0.7767;0.2094;0.3298;0.0510;0.0881;0.3380
;gbc;Gradient Boosting Classifier;0.4041;0.5744;0.7450;0.2025;0.3182;0.0353;0.0591;0.3520
