;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4700
;et;Extra Trees Classifier;0.8057;0.5947;0.1078;0.4213;0.1686;0.1017;0.1331;0.4970
;ridge;Ridge Classifier;0.8045;0.5857;0.0320;0.3658;0.0556;0.0215;0.0527;0.4960
;lr;Logistic Regression;0.8039;0.5829;0.0543;0.3222;0.0908;0.0446;0.0696;0.4560
;lda;Linear Discriminant Analysis;0.8010;0.5857;0.0511;0.3733;0.0851;0.0355;0.0628;0.5150
;rf;Random Forest Classifier;0.7992;0.6229;0.1174;0.3858;0.1757;0.0982;0.1221;0.5080
;gbc;Gradient Boosting Classifier;0.7712;0.5799;0.1302;0.2746;0.1755;0.0613;0.0681;0.5020
;lightgbm;Light Gradient Boosting Machine;0.7594;0.5920;0.1969;0.2790;0.2294;0.0942;0.0957;0.8510
;ada;Ada Boost Classifier;0.7504;0.5609;0.1555;0.2366;0.1857;0.0477;0.0492;0.4720
;knn;K Neighbors Classifier;0.7433;0.5272;0.1269;0.2009;0.1522;0.0123;0.0132;0.4900
;qda;Quadratic Discriminant Analysis;0.7381;0.5570;0.2096;0.2600;0.2137;0.0719;0.0763;0.4760
;nb;Naive Bayes;0.7339;0.5712;0.2352;0.2919;0.2371;0.0907;0.0986;0.4660
;svm;SVM - Linear Kernel;0.7172;0.4815;0.1463;0.1705;0.1480;-0.0074;-0.0099;0.4860
;dt;Decision Tree Classifier;0.6780;0.5637;0.3816;0.2542;0.3041;0.1054;0.1100;0.4710
