;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;et;Extra Trees Classifier;0.8176;0.6316;0.0477;0.7250;0.0887;0.0651;0.1480;0.5390
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5120
;ridge;Ridge Classifier;0.8128;0.5926;0.0000;0.0000;0.0000;-0.0012;-0.0037;0.5230
;lr;Logistic Regression;0.8105;0.5919;0.0031;0.1000;0.0061;-0.0018;0.0006;0.4840
;lda;Linear Discriminant Analysis;0.8105;0.5925;0.0031;0.1000;0.0061;-0.0018;0.0006;0.4880
;rf;Random Forest Classifier;0.8069;0.6251;0.0317;0.3876;0.0571;0.0254;0.0587;0.5690
;gbc;Gradient Boosting Classifier;0.8004;0.5948;0.0541;0.2781;0.0903;0.0368;0.0500;0.5280
;knn;K Neighbors Classifier;0.7950;0.5445;0.0955;0.3365;0.1470;0.0702;0.0893;0.5030
;ada;Ada Boost Classifier;0.7897;0.5761;0.0605;0.2276;0.0949;0.0238;0.0285;0.4910
;lightgbm;Light Gradient Boosting Machine;0.7873;0.6002;0.0953;0.2913;0.1406;0.0550;0.0669;0.8470
;svm;SVM - Linear Kernel;0.7867;0.5233;0.0701;0.2147;0.0987;0.0284;0.0335;0.4920
;nb;Naive Bayes;0.7724;0.5828;0.1238;0.2695;0.1637;0.0556;0.0624;0.4700
;qda;Quadratic Discriminant Analysis;0.7718;0.5835;0.1115;0.2346;0.1491;0.0418;0.0437;0.4950
;dt;Decision Tree Classifier;0.6952;0.5280;0.2612;0.2243;0.2401;0.0515;0.0521;0.4980
