;;;;;;;;;;
;BEST 2;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;et;Extra Trees Classifier;0.8188;0.6389;0.0383;0.6300;0.0705;0.0557;0.1269;0.5360
;rf;Random Forest Classifier;0.8170;0.6273;0.0955;0.5664;0.1610;0.1136;0.1721;0.5830
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5210
;lightgbm;Light Gradient Boosting Machine;0.7807;0.5943;0.1620;0.3245;0.2126;0.1038;0.1128;0.8650
;dt;Decision Tree Classifier;0.7195;0.5329;0.2352;0.2347;0.2339;0.0631;0.0632;0.5290
;gbc;Gradient Boosting Classifier;0.6708;0.5792;0.3530;0.2368;0.2821;0.0792;0.0829;0.5960
;qda;Quadratic Discriminant Analysis;0.6572;0.5821;0.3982;0.2591;0.2970;0.0996;0.1052;0.5380
;nb;Naive Bayes;0.6405;0.5831;0.4234;0.2578;0.3067;0.0986;0.1044;0.5060
;ada;Ada Boost Classifier;0.6072;0.5648;0.4300;0.2197;0.2901;0.0576;0.0635;0.5260
;ridge;Ridge Classifier;0.5882;0.5931;0.5153;0.2286;0.3162;0.0796;0.0947;0.5300
;lda;Linear Discriminant Analysis;0.5882;0.5931;0.5153;0.2286;0.3162;0.0796;0.0947;0.5140
;lr;Logistic Regression;0.5858;0.5918;0.5153;0.2272;0.3149;0.0772;0.0923;0.5110
;knn;K Neighbors Classifier;0.5663;0.5183;0.4103;0.1885;0.2577;0.0058;0.0088;0.5420
;svm;SVM - Linear Kernel;0.5662;0.5883;0.5699;0.2349;0.3268;0.0881;0.1090;0.4960
