;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.3210
;nb;Naive Bayes;0.6722;0.5879;0.3636;0.2437;0.2792;0.0848;0.0931;0.3130
;qda;Quadratic Discriminant Analysis;0.6650;0.5775;0.4055;0.2518;0.3018;0.1017;0.1114;0.3260
;ridge;Ridge Classifier;0.5770;0.5931;0.5536;0.2327;0.3270;0.0882;0.1068;0.3390
;lda;Linear Discriminant Analysis;0.5770;0.5930;0.5536;0.2327;0.3270;0.0882;0.1068;0.3300
;lr;Logistic Regression;0.5722;0.5931;0.5442;0.2281;0.3208;0.0795;0.0964;0.3060
;et;Extra Trees Classifier;0.5686;0.6158;0.5855;0.2356;0.3356;0.0953;0.1175;0.3620
;rf;Random Forest Classifier;0.5609;0.6127;0.5918;0.2338;0.3348;0.0921;0.1139;0.3450
;ada;Ada Boost Classifier;0.5508;0.5805;0.6047;0.2303;0.3328;0.0870;0.1122;0.3480
;lightgbm;Light Gradient Boosting Machine;0.5449;0.5699;0.5599;0.2182;0.3138;0.0626;0.0790;0.5800
;knn;K Neighbors Classifier;0.5407;0.5278;0.4836;0.1986;0.2806;0.0235;0.0296;0.3350
;gbc;Gradient Boosting Classifier;0.5341;0.5685;0.5602;0.2141;0.3096;0.0546;0.0690;0.3660
;dt;Decision Tree Classifier;0.5277;0.5365;0.5508;0.2099;0.3027;0.0456;0.0573;0.3330
;svm;SVM - Linear Kernel;0.5216;0.5183;0.4774;0.1884;0.2655;0.0042;0.0079;0.3110
