;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.3820
;ridge;Ridge Classifier;0.6411;0.6044;0.4487;0.2449;0.3157;0.1001;0.1097;0.3890
;lda;Linear Discriminant Analysis;0.6399;0.6044;0.4487;0.2441;0.3150;0.0989;0.1084;0.3770
;nb;Naive Bayes;0.6275;0.5842;0.4225;0.2282;0.2917;0.0707;0.0801;0.3760
;lr;Logistic Regression;0.6257;0.5999;0.4873;0.2446;0.3244;0.1033;0.1165;0.3610
;qda;Quadratic Discriminant Analysis;0.6245;0.5832;0.4421;0.2364;0.3043;0.0826;0.0902;0.3840
;knn;K Neighbors Classifier;0.6155;0.5623;0.4203;0.2202;0.2877;0.0588;0.0655;0.3820
;et;Extra Trees Classifier;0.6085;0.6256;0.5374;0.2475;0.3379;0.1116;0.1290;0.4110
;rf;Random Forest Classifier;0.5829;0.6100;0.5635;0.2375;0.3334;0.0976;0.1186;0.4150
;ada;Ada Boost Classifier;0.5746;0.5848;0.5381;0.2294;0.3212;0.0806;0.0954;0.4060
;gbc;Gradient Boosting Classifier;0.5740;0.5989;0.5568;0.2319;0.3270;0.0870;0.1056;0.3880
;lightgbm;Light Gradient Boosting Machine;0.5621;0.6038;0.5790;0.2300;0.3289;0.0855;0.1071;0.6840
;dt;Decision Tree Classifier;0.5508;0.5815;0.6304;0.2365;0.3439;0.0995;0.1270;0.3720
;svm;SVM - Linear Kernel;0.5359;0.5478;0.5224;0.2112;0.2975;0.0433;0.0495;0.3870
