;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5380
;et;Extra Trees Classifier;0.7635;0.6307;0.2381;0.3171;0.2710;0.1339;0.1361;0.5660
;rf;Random Forest Classifier;0.7385;0.6213;0.2834;0.2961;0.2883;0.1288;0.1294;0.5840
;lightgbm;Light Gradient Boosting Machine;0.7290;0.6108;0.3214;0.2989;0.3079;0.1409;0.1416;0.9030
;dt;Decision Tree Classifier;0.6542;0.5447;0.3699;0.2303;0.2820;0.0708;0.0754;0.5250
;gbc;Gradient Boosting Classifier;0.6417;0.5938;0.4590;0.2473;0.3207;0.1054;0.1161;0.6360
;ridge;Ridge Classifier;0.5906;0.6032;0.5446;0.2372;0.3297;0.0959;0.1147;0.5000
;lda;Linear Discriminant Analysis;0.5906;0.6032;0.5446;0.2372;0.3297;0.0959;0.1147;0.5180
;lr;Logistic Regression;0.5894;0.6018;0.5447;0.2371;0.3298;0.0955;0.1137;0.5240
;ada;Ada Boost Classifier;0.5894;0.5700;0.4808;0.2239;0.3044;0.0671;0.0764;0.5050
;knn;K Neighbors Classifier;0.5377;0.5608;0.5220;0.2071;0.2964;0.0401;0.0495;0.5320
;nb;Naive Bayes;0.5198;0.5798;0.5974;0.2240;0.3136;0.0670;0.0819;0.5120
;qda;Quadratic Discriminant Analysis;0.5198;0.5409;0.5657;0.2116;0.2970;0.0466;0.0625;0.5100
;svm;SVM - Linear Kernel;0.5138;0.5084;0.5003;0.1949;0.2771;0.0140;0.0132;0.5120
