;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dt;Decision Tree Classifier;0.5656;0.5402;0.4996;0.2143;0.2997;0.0527;0.0631;0.5240
;et;Extra Trees Classifier;0.5638;0.5931;0.5508;0.2262;0.3204;0.0760;0.0923;0.5470
;lightgbm;Light Gradient Boosting Machine;0.5603;0.5779;0.5349;0.2191;0.3107;0.0636;0.0788;0.9180
;rf;Random Forest Classifier;0.5437;0.5894;0.5543;0.2165;0.3111;0.0591;0.0747;0.5900
;gbc;Gradient Boosting Classifier;0.4759;0.5593;0.6434;0.2072;0.3132;0.0438;0.0645;0.5580
;ada;Ada Boost Classifier;0.4528;0.5500;0.6848;0.2070;0.3178;0.0442;0.0679;0.5170
;knn;K Neighbors Classifier;0.4040;0.5519;0.7483;0.2029;0.3192;0.0363;0.0614;0.5300
;qda;Quadratic Discriminant Analysis;0.3815;0.5364;0.7418;0.1962;0.3091;0.0207;0.0356;0.5170
;nb;Naive Bayes;0.3495;0.5602;0.7580;0.1906;0.3026;0.0081;0.0068;0.5000
;svm;SVM - Linear Kernel;0.3393;0.5475;0.7828;0.1903;0.3051;0.0085;0.0255;0.4970
;lr;Logistic Regression;0.3138;0.5776;0.8818;0.1983;0.3236;0.0277;0.0700;0.5360
;lda;Linear Discriminant Analysis;0.3102;0.5787;0.8943;0.1991;0.3255;0.0297;0.0783;0.5420
;ridge;Ridge Classifier;0.2918;0.5786;0.9166;0.1978;0.3252;0.0267;0.0800;0.5340
;dummy;Dummy Classifier;0.1866;0.5000;1.0000;0.1866;0.3145;0.0000;0.0000;0.5590
