;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;et;Extra Trees Classifier;0.8182;0.6379;0.0665;0.6231;0.1180;0.0858;0.1554;0.6580
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.6370
;rf;Random Forest Classifier;0.8051;0.6121;0.0602;0.3267;0.0995;0.0509;0.0709;0.6990
;lightgbm;Light Gradient Boosting Machine;0.7992;0.6198;0.1368;0.3881;0.1989;0.1155;0.1366;1.0620
;gbc;Gradient Boosting Classifier;0.7956;0.6171;0.1176;0.3711;0.1752;0.0927;0.1148;0.6760
;ridge;Ridge Classifier;0.7831;0.5676;0.1274;0.3106;0.1765;0.0778;0.0892;0.6360
;lda;Linear Discriminant Analysis;0.7831;0.5675;0.1274;0.3106;0.1765;0.0778;0.0892;0.6320
;knn;K Neighbors Classifier;0.7778;0.5528;0.0955;0.2508;0.1374;0.0389;0.0452;0.6290
;lr;Logistic Regression;0.7682;0.5701;0.1690;0.2958;0.2114;0.0889;0.0948;0.6710
;nb;Naive Bayes;0.7570;0.5275;0.1468;0.2631;0.1806;0.0530;0.0593;0.6540
;ada;Ada Boost Classifier;0.7570;0.6093;0.2199;0.3010;0.2514;0.1115;0.1145;0.6400
;qda;Quadratic Discriminant Analysis;0.7540;0.5153;0.1880;0.2768;0.2169;0.0812;0.0852;0.6380
;svm;SVM - Linear Kernel;0.7457;0.5271;0.1943;0.2407;0.2066;0.0675;0.0672;0.6520
;dt;Decision Tree Classifier;0.6963;0.5392;0.2887;0.2387;0.2604;0.0720;0.0728;0.6270
