;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5710
;et;Extra Trees Classifier;0.7629;0.6015;0.2096;0.3129;0.2487;0.1143;0.1190;0.5710
;rf;Random Forest Classifier;0.7219;0.5831;0.2413;0.2596;0.2484;0.0789;0.0795;0.5950
;lightgbm;Light Gradient Boosting Machine;0.7166;0.5653;0.2347;0.2372;0.2347;0.0615;0.0618;0.8780
;dt;Decision Tree Classifier;0.6370;0.5193;0.3315;0.2041;0.2519;0.0296;0.0318;0.5310
;gbc;Gradient Boosting Classifier;0.6250;0.5648;0.4012;0.2227;0.2855;0.0600;0.0646;0.6130
;ridge;Ridge Classifier;0.5924;0.5970;0.5221;0.2335;0.3219;0.0877;0.1032;0.5210
;lda;Linear Discriminant Analysis;0.5924;0.5970;0.5221;0.2335;0.3219;0.0877;0.1032;0.5340
;lr;Logistic Regression;0.5918;0.5934;0.5221;0.2330;0.3216;0.0869;0.1026;0.5080
;ada;Ada Boost Classifier;0.5870;0.5619;0.4841;0.2223;0.3041;0.0655;0.0753;0.5400
;svm;SVM - Linear Kernel;0.5717;0.5645;0.4950;0.2188;0.2998;0.0582;0.0679;0.5120
;nb;Naive Bayes;0.5265;0.5537;0.5448;0.2163;0.2982;0.0488;0.0581;0.5070
;knn;K Neighbors Classifier;0.5181;0.5278;0.5001;0.1954;0.2802;0.0159;0.0180;0.5210
;qda;Quadratic Discriminant Analysis;0.5105;0.5117;0.5256;0.1969;0.2789;0.0191;0.0293;0.5210
