;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5400
;et;Extra Trees Classifier;0.8105;0.6377;0.0891;0.4483;0.1459;0.0926;0.1310;0.5910
;rf;Random Forest Classifier;0.7956;0.5948;0.1244;0.3576;0.1806;0.0969;0.1148;0.5950
;lightgbm;Light Gradient Boosting Machine;0.7683;0.5964;0.2196;0.3196;0.2596;0.1285;0.1317;0.9350
;gbc;Gradient Boosting Classifier;0.7516;0.5743;0.2133;0.2859;0.2433;0.0985;0.1007;0.5890
;qda;Quadratic Discriminant Analysis;0.7367;0.5249;0.1915;0.2474;0.2045;0.0560;0.0602;0.5380
;nb;Naive Bayes;0.7308;0.5815;0.2579;0.2670;0.2569;0.0958;0.0974;0.5240
;ada;Ada Boost Classifier;0.7047;0.5558;0.2485;0.2334;0.2393;0.0577;0.0577;0.5910
;ridge;Ridge Classifier;0.6910;0.5639;0.2927;0.2401;0.2619;0.0707;0.0714;0.5340
;lda;Linear Discriminant Analysis;0.6910;0.5639;0.2927;0.2401;0.2619;0.0707;0.0714;0.5250
;lr;Logistic Regression;0.6857;0.5676;0.2956;0.2320;0.2585;0.0638;0.0648;0.5440
;dt;Decision Tree Classifier;0.6839;0.5527;0.3435;0.2500;0.2887;0.0927;0.0946;0.5370
;knn;K Neighbors Classifier;0.6678;0.5548;0.3306;0.2335;0.2715;0.0677;0.0686;0.5680
;svm;SVM - Linear Kernel;0.6536;0.5602;0.3818;0.2380;0.2908;0.0802;0.0842;0.5310
