;;;;;;;;;;
;BEST;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;et;Extra Trees Classifier;0.8182;0.6325;0.0570;0.7238;0.1030;0.0758;0.1579;0.5400
;rf;Random Forest Classifier;0.8158;0.6217;0.0604;0.5200;0.1073;0.0744;0.1290;0.5620
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4990
;ridge;Ridge Classifier;0.8117;0.5816;0.0031;0.0500;0.0059;0.0003;-0.0003;0.4690
;lr;Logistic Regression;0.8111;0.5809;0.0064;0.1500;0.0121;0.0032;0.0111;0.4670
;lda;Linear Discriminant Analysis;0.8105;0.5815;0.0064;0.1500;0.0121;0.0020;0.0074;0.4800
;gbc;Gradient Boosting Classifier;0.8027;0.5933;0.0508;0.3575;0.0857;0.0382;0.0632;0.5030
;lightgbm;Light Gradient Boosting Machine;0.7920;0.5967;0.1111;0.3186;0.1635;0.0782;0.0915;0.8150
;ada;Ada Boost Classifier;0.7897;0.5667;0.0573;0.2173;0.0887;0.0200;0.0233;0.5050
;knn;K Neighbors Classifier;0.7873;0.5215;0.0733;0.2678;0.1143;0.0344;0.0456;0.4700
;nb;Naive Bayes;0.7665;0.5697;0.1426;0.3021;0.1738;0.0621;0.0760;0.4790
;svm;SVM - Linear Kernel;0.7665;0.5501;0.1079;0.2032;0.1258;0.0285;0.0312;0.4710
;qda;Quadratic Discriminant Analysis;0.7665;0.5624;0.1174;0.2409;0.1464;0.0373;0.0427;0.4630
;dt;Decision Tree Classifier;0.7029;0.5349;0.2669;0.2391;0.2509;0.0673;0.0677;0.4870
